t,obs,action,reward,seed
61,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
62,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
63,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
64,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
65,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
66,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
67,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
68,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
69,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
70,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
71,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
72,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
73,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
74,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
75,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
76,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
77,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
78,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
79,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
80,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
81,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
82,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
83,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
84,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
85,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
86,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
87,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
88,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
89,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
90,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
91,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
92,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
93,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
94,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
95,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
96,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
97,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
98,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
99,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
100,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
101,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
102,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
103,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
104,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
105,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
106,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
107,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
108,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
109,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
110,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
111,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
112,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
113,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
114,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
115,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
116,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
117,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
118,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
119,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
120,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
121,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
122,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
123,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
124,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
125,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
126,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
127,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
